country,year,n.Districts,Uniform.LastDigit,DistanceAllPairs,DistanceLastPair,Mean.FirstDigit,Mean.SecondDigit,Benford.SecondDigit,lagged.polity,fraud.democracy,inequality,fract,urban,turnout,avgmag,demtenure,gdpchange,commission,instability,lagged.fraudscore
statesunited,1964,1008,0.012633062,3.314196242,3.048016701,4.342261905,3.705636743,0.037870552,10,1,34.7,0.491,71.44,NA,1,155,4.36,0,0,-0.406266686
japan,1993,675,0.005761317,3.345185185,3.061481481,3.805925926,3.822222222,0.0253924,10,1,27.24,0.012,77.75,67.02,3.96,46,0.82,1,0,-0.406266686
belgium,1977,173,0.042133048,3.624277457,3.23699422,3.277456647,4.277456647,0.051027296,10,1,23.17,0.567,94.84,95.07,7.1,124,5.65,0,0,-0.406266686
norway,1965,134,0.131655157,3.045801527,2.893129771,3.186567164,3.961832061,0.064365914,10,1,24.07,0.098,57.57,85.43,7.5,25,5.01,0,0,-0.406266686
ghana,2000,1036,0.007364231,3.33011583,3.090250965,3.281853282,3.951737452,0.014571949,-4,1,40.7,0.846,43.95,61.19,1,NA,4.4,2,0,0.491336559
statesunited,1982,1267,0.007027395,3.33697479,3.106722689,4.220994475,4.069747899,0.014283228,10,1,36.48,0.491,74.02,61.1,1,173,2.54,0,0,-0.406266686
newzealand,1999,692,0.0173661,3.299565847,3.066570188,3.799132948,4.340086831,0.01516033,10,1,36.17,0.363,85.61,84.77,1.76,122,1.22,2,0,-0.406266686
colombia,1978,106,0.069775721,3.066037736,3.066037736,3.754716981,4.396226415,0.185049161,7,1,51.63,0.656,60.69,33.39,7.65,20,4.15,2,0,-0.406266686
denmark,1953,183,0.062139807,3.262295082,3.218579235,3.475409836,4.524590164,0.050370237,10,1,39.9,0.128,68.96,80.8,NA,38,NA,0,0,-0.406266686
australia,1972,513,0.020902918,3.054580897,3.111111111,2.364522417,4.329434698,0.019026164,10,1,26.05,0.149,85.53,95.38,1,71,4.01,2,0,-0.406266686
australia,1946,222,0.046992939,3.162162162,2.977477477,2.743243243,4.495495495,0.046277284,NA,1,28.6,0.149,77,93.97,1,45,NA,2,0,NA
australia,1963,391,0.023083313,3.184143223,3.25831202,2.450127877,4.099744246,0.032186136,10,1,29.63,0.149,82.7,95.73,1,62,1.28,2,0,-0.406266686
japan,1986,565,0.024449839,3.288495575,3.094690265,3.886725664,4.104424779,0.014016478,10,1,26.64,0.012,76.84,63.99,3.94,39,6.33,1,0,-0.406266686
sweden,1956,160,0.02734375,3.335664336,2.853146853,3.1625,4.377622378,0.045469554,10,1,54.3,0.189,69.91,79.6,8.25,39,NA,0,0,-0.406266686
philippines,2007,626,0.021394523,3.3648,3.1024,4.086261981,4.056,0.019938499,8,1,44,0.161,48.3,63.68,NA,19,5.24,2,0,0.353319597
czechrepublic,1998,103,0.100009426,3.291262136,2.936893204,3.310679612,4.126213592,0.121099802,NA,1,25.3,0.322,74.25,74,22.33,8,-0.67,0,0,-0.406266686
cameroon,2002,206,0.063248186,3.148514851,3.037128713,3.243902439,4.467980296,0.043609894,-4,0,44,0.887,46.74,65.66,NA,NA,4.51,2,1,2.084715243
thailand,1983,872,0.008148514,3.260321101,3.175458716,3.616972477,4.160550459,0.015428913,3,1,45.9,0.431,27.57,50.76,2.4,NA,5.35,2,1,-0.406266686
hungary,2002,1396,0.007842711,3.300143266,3.082020057,3.373925501,3.952722063,0.013598519,10,1,26.73,0.186,65.29,73.47,1.61,12,3.74,1,0,-0.406266686
netherlands,1948,12,0.388888889,2.25,2.791666667,2.833333333,3.833333333,1.444243402,NA,1,43,0.077,56.14,93.67,100,31,NA,1,0,-0.406266686
austria,1945,76,0.076869806,3.368421053,3.111842105,4.5,4.539473684,0.217897419,NA,1,NA,0.126,63.6,94.31,6.28,7,NA,0,0,NA
france,2007,6136,0.001696764,3.347052099,3.146823453,3.116199478,4.137840928,0.002378973,9,1,NA,0.272,83.2,59.98,1,37,2.37,1,0,-0.406266686
canada,1980,1378,0.00482178,3.382438316,3.190130624,3.264876633,4.213352685,0.00755755,10,1,28.18,0.596,75.66,69.32,1,92,3.8,2,0,-0.406266686
newzealand,1990,543,0.01472279,3.250460405,3.08839779,3.963167587,4.068139963,0.017085991,10,1,31.6,0.363,84.74,85.24,1,113,0.5,2,0,-0.406266686
colombia,1964,38,0.177285319,3.368421053,3.263157895,3.973684211,4.210526316,0.186324259,7,1,56.32,0.656,49.82,36.85,NA,6,2.9,2,0,-0.406266686
switzerland,1959,100,0.044,3.36,3.305,3.57,4.04,0.122643056,10,1,NA,0.575,71.85,68.46,8.08,111,NA,0,0,-0.406266686
thailand,1992,1482,0.004842637,3.336032389,3.089068826,3.632928475,4.13562753,0.005284305,2,1,51.5,0.431,29.76,59.28,NA,0,8.56,2,1,0.491336559
statesunited,2002,1373,0.00559166,3.269174041,3.026917404,3.52585579,3.953539823,0.015958805,10,1,NA,0.491,79.63,45.31,1,193,0.98,0,0,-0.406266686
canada,1945,919,0.009222543,3.278563656,3.123503808,3.972796518,4.244831338,0.004551981,NA,1,NA,0.596,60.95,76.31,1,57,NA,2,0,NA
