country,year,n.Districts,Uniform.LastDigit,DistanceAllPairs,DistanceLastPair,Mean.FirstDigit,Mean.SecondDigit,Benford.SecondDigit,lagged.polity,fraud.democracy,inequality,fract,urban,turnout,avgmag,demtenure,gdpchange,commission,instability,lagged.fraudscore
austria,1953,157,0.044667126,3.611464968,3.181528662,3.452229299,4.547770701,0.037926389,0,1,NA,0.126,63.93,95.83,5.64,15,NA,0,0,-0.406266686
austria,1956,114,0.134195137,3.279279279,2.986486486,4.280701754,4.063063063,0.049202697,10,1,NA,0.126,64.27,95.95,5.88,18,NA,0,0,-0.406266686
austria,1959,101,0.102833056,3.03960396,3.034653465,4.099009901,4.01980198,0.142037893,10,1,NA,0.126,64.61,94.21,5.8,21,NA,0,0,-0.406266686
austria,1966,109,0.084925511,3.467889908,3.059633028,4.266055046,4.495412844,0.058917549,10,1,27.14,0.126,65.06,93.8,6.04,28,3.48,0,0,-0.406266686
austria,1970,129,0.055825972,3.240310078,3.108527132,3.906976744,3.751937984,0.055366359,10,1,23.17,0.126,65.26,91.78,6.04,32,6.28,0,0,-0.406266686
austria,1971,37,0.146822498,3.459459459,3.337837838,3.378378378,4.891891892,0.287323976,10,1,27.09,0.126,65.27,92.44,18.56,33,9.35,0,0,-0.406266686
austria,1975,38,0.163434903,3.684210526,3.25,3.447368421,3.947368421,0.141019101,10,1,31.2,0.126,65.34,92.9,19,37,3.94,0,0,-0.406266686
austria,1979,37,0.117604091,2.918918919,2.756756757,3.378378378,5.189189189,0.385368052,10,1,24.3,0.126,65.38,92.24,18.78,41,-0.21,0,0,-0.406266686
austria,1983,58,0.117717004,4.034482759,3.431034483,3.189655172,3.948275862,0.093876092,10,1,22.86,0.126,65.5,92.59,18.22,45,2.01,0,0,-0.406266686
austria,1986,48,0.223958333,3.75,3.21875,4.25,4.208333333,0.137202559,10,1,22.74,0.126,65.61,90.46,18,48,2.5,0,0,-0.406266686
austria,1990,66,0.221303949,3.272727273,2.977272727,3.515151515,3.893939394,0.047900644,10,1,25.1,0.126,65.77,86.14,17.56,52,3.89,0,0,-0.406266686
austria,1994,405,0.019173906,3.313580247,3.09382716,3.279012346,4.264197531,0.018580372,10,1,28,0.126,65.79,82.46,2.12,56,0.53,0,0,-0.406266686
austria,1995,312,0.03940664,3.157051282,3.057692308,3.108974359,4.070512821,0.013401168,10,1,27.7,0.126,65.8,85.98,2.26,57,2.4,0,0,-0.406266686
austria,1999,352,0.012073864,3.349431818,3.170454545,3.315340909,4.582386364,0.034269788,10,1,25.91,0.126,65.8,80.42,2.37,61,3.56,0,0,-0.406266686
austria,2002,276,0.031821046,3.108695652,3.036231884,4.02173913,4.221014493,0.042659605,10,1,26.52,0.126,66.09,84.27,2.44,64,1.35,0,0,-0.406266686
austria,2006,339,0.048807442,3.445427729,3.126843658,3.200589971,4.327433628,0.017822736,10,1,26.59,0.126,66.72,78.49,1.95,68,2.14,0,0,-0.406266686
austria,2008,467,0.026048998,3.286937901,3.05888651,3.381156317,4.301927195,0.028780677,10,1,NA,0.126,67,81.71,1.67,70,3.62,0,0,-0.406266686
bangladesh,1973,1041,0.008331788,3.315081652,3.107108549,3.534101825,4.091258405,0.006209709,NA,0,32.7,0.223,8.94,54.91,1,0,-13.97,2,1,NA
bangladesh,2001,1656,0.003925121,3.324879227,3.080615942,3.950483092,4.148550725,0.00643086,NA,1,31.7,0.223,24,74.97,1,10,5.94,2,1,0.491336559
bangladesh,2008,1519,0.009651286,3.190915076,3.038841343,3.512837393,4.081632653,0.006247667,6,0,NA,0.223,26,85.26,1,17,7.06,2,1,0.353319597
belgium,1946,149,0.052655286,3.422818792,2.953020134,3.295302013,4.167785235,0.086671999,NA,1,NA,0.567,91.47,90.3,6.73,93,NA,0,0,NA
belgium,1949,152,0.056959834,3.296052632,2.825657895,3.184210526,4.144736842,0.028699766,NA,1,NA,0.567,91.47,94.41,7.1,96,NA,0,0,-0.406266686
belgium,1950,118,0.037058317,3.63559322,3.271186441,3.406779661,4.415254237,0.129400359,10,1,NA,0.567,91.47,92.62,7.1,97,NA,0,0,-0.406266686
belgium,1954,142,0.071216029,3.246478873,2.968309859,3.521126761,4.288732394,0.087852406,10,1,NA,0.567,91.87,93.18,7.1,101,NA,0,0,-0.406266686
belgium,1958,130,0.100591716,3.276923077,3.35,3.453846154,4.084615385,0.06751859,10,1,NA,0.567,92.27,93.62,7.1,105,NA,0,0,-0.406266686
belgium,1961,149,0.074275934,3.140939597,2.94966443,3.590604027,4.389261745,0.053356317,10,1,NA,0.567,92.6,92.34,7.1,108,NA,0,0,-0.406266686
belgium,1965,154,0.046550852,3.090909091,2.970779221,3.032467532,4.279220779,0.052661346,10,1,24.38,0.567,93.14,91.58,7.1,112,6.96,0,0,-0.406266686
belgium,1968,159,0.043075828,3.113207547,3.119496855,3.106918239,4.289308176,0.063240222,10,1,34.32,0.567,93.56,90.02,7.1,115,3.87,0,0,-0.406266686
belgium,1971,155,0.031009365,3.225806452,3.161290323,2.967741935,4.761290323,0.118951175,10,1,36.2,0.567,93.97,91.55,7.1,118,7.43,0,0,-0.406266686
belgium,1974,170,0.031141869,3.229411765,3.344117647,3.105882353,4.605882353,0.096521823,10,1,24.69,0.567,94.35,90.35,7.1,121,6.38,0,0,-0.406266686
belgium,1978,257,0.054822934,3.509727626,3.36770428,3.319066148,4.579766537,0.030836759,10,1,22.71,0.567,95.02,94.87,6.97,125,0.63,0,0,-0.406266686
belgium,1981,304,0.016490651,3.223684211,3.149671053,3.384868421,4.223684211,0.027775964,10,1,22.44,0.567,95.49,94.56,7.07,128,4.44,0,0,-0.406266686
belgium,1985,331,0.031115087,3.416918429,3.287009063,3.555891239,4.404833837,0.053996843,10,1,22.7,0.567,95.93,93.59,7.07,132,2.47,0,0,-0.406266686
belgium,1995,262,0.049472641,3.702290076,3.265267176,3.591603053,4.049618321,0.012005261,10,1,26.6,0.567,96.78,91.15,7.5,142,3.23,0,0,-0.406266686
belgium,1999,244,0.032652513,3.266393443,2.897540984,3.848360656,4.139344262,0.035835164,10,1,26.82,0.567,97.05,90.57,7.5,146,2.01,0,0,-0.406266686
belgium,2003,141,0.030632262,3.007092199,3.315602837,3.468085106,4.021276596,0.135921554,10,1,25.95,0.567,97.22,91.63,13.64,150,1.56,0,0,-0.406266686
belgium,2007,137,0.038414407,3.445255474,3.229927007,3.379562044,4.226277372,0.034078435,10,1,28,0.567,97,91.08,13.64,154,2.63,0,1,-0.406266686
bolivia,1985,162,0.115683585,3.477987421,3.298742138,3.388888889,4.383647799,0.110494458,NA,1,51.57,0.743,50.52,81.97,14.44,3,-0.2,2,1,NA
bolivia,1989,90,0.135802469,3.303370787,3.016853933,3.477777778,4.505617978,0.116874154,-7,1,52.45,0.743,54.57,73.66,13.67,7,2.91,2,0,0.491336559
bolivia,1993,126,0.064499874,3.048,3.148,3.619047619,4.224,0.096090061,8,1,52.9,0.743,57.87,72.16,14.44,11,1.65,2,0,-0.406266686
bolivia,1997,755,0.012780141,3.299595142,3.151147099,3.386754967,4.272604588,0.005345519,9,1,57.3,0.743,60.37,71.36,1,15,4.36,2,0,-0.406266686
bolivia,2002,847,0.017090669,3.375598086,3.156698565,3.415584416,4.19138756,0.008585002,9,1,57.6,0.743,62.78,72.06,1,20,1.68,2,1,-0.406266686
bosniaherzegovina,1996,24,0.319444444,4.375,3.354166667,3.541666667,3.833333333,0.257042451,NA,0,32.33,0.681,41.42,46.06,21,1,20.8,2,1,NA
bosniaherzegovina,1998,45,0.120987654,3.177777778,3.166666667,2.488888889,4.511111111,0.164018955,NA,0,30.39,0.681,42.22,70.74,21,3,34.39,2,1,1.192322301
bosniaherzegovina,2006,170,0.019377163,3.2,3.132352941,3.688235294,3.988235294,0.048927975,NA,0,33.87,0.681,45.75,54.94,3.75,11,5,2,1,-0.406266686
botswana,1969,73,0.13154438,3.493150685,3.239726027,2.945205479,4.246575342,0.110914809,NA,0,57.4,0.351,7.04,54.73,1,4,10.57,2,0,NA
botswana,1974,59,0.048549267,3.355932203,3.025423729,2.898305085,4.237288136,0.265306274,NA,0,52,0.351,11.07,31.22,1,9,21.3,2,0,-0.406266686
botswana,1979,67,0.098240143,3.560606061,3.537878788,2.895522388,4.03030303,0.164594442,6,0,52,0.351,15.56,55.24,1,14,14.33,2,0,-0.406266686
botswana,1984,85,0.105882353,3.258823529,3.264705882,3.670588235,4.011764706,0.027192566,6,0,52.3,0.351,24.68,77.58,1,19,13.15,2,0,-0.406266686
botswana,1999,138,0.083805923,3.102189781,2.989051095,3.652173913,4.350364964,0.099454664,6,0,48.5,0.351,52.37,77.11,1,34,0.72,2,0,-0.406266686
botswana,2004,177,0.051102812,3.310734463,3.305084746,3.18079096,4.649717514,0.080224576,7,0,NA,0.351,56.5,76.2,1,39,4.63,2,0,-0.406266686
brazil,1950,136,0.092128028,3.389705882,3.088235294,3.272058824,3.904411765,0.103955984,-7,1,NA,0.549,36.16,71.89,12.16,4,NA,2,1,-0.406266686
brazil,1954,130,0.040236686,3.6,3.276923077,3.607692308,4.307692308,0.037393387,0,1,NA,0.549,41.1,65.48,NA,8,NA,2,1,-0.406266686
brazil,1958,115,0.047258979,3.408695652,3.469565217,3.147826087,4.469565217,0.102500098,5,1,49.1,0.549,46.1,99.2,NA,12,NA,2,1,-0.406266686
brazil,1962,123,0.034437174,3.082644628,2.909090909,3.634146341,4.190082645,0.09725347,5,1,56.48,0.549,48.1,79.59,15.56,NA,10.28,2,1,-0.406266686
brazil,1982,96,0.117621528,3.326315789,3,3.770833333,4.389473684,0.062986464,5,0,54.19,0.549,67.23,82.33,19.16,NA,-4.39,2,0,-0.406266686
brazil,1990,484,0.004115156,3.180873181,3.082120582,3.440082645,4.334719335,0.027072284,-4,1,59.6,0.549,73.92,84.61,18.63,5,3.28,2,0,-0.406266686
brazil,1994,481,0.010325854,3.426751592,3.183651805,3.496881497,4.176220807,0.01317304,7,1,58.6,0.549,76.87,82.24,19,9,4.67,2,0,-0.406266686
brazil,2002,706,0.009076391,3.318696884,3.128186969,3.494334278,4.120396601,0.004905135,8,1,58.3,0.549,81.85,68.72,19,17,1.31,2,0,-0.406266686
brazil,2006,698,0.009063965,3.309455587,3.093123209,3.277936963,4.106017192,0.01284651,8,1,56.4,0.549,83.13,83.27,19,21,3.16,2,0,1.670087919
bulgaria,1991,727,0.00382382,3.370833333,3.070138889,4.01650619,4.290277778,0.012950378,NA,1,26.2,0.299,66.66,83.87,7.74,1,-9.12,2,1,NA
bulgaria,1994,1127,0.012692412,3.261101243,3.189165187,3.065661047,4.235346359,0.0044192,-7,1,27.92,0.299,67.5,75.23,7.74,4,-1.48,2,1,-0.406266686
bulgaria,1997,966,0.009348919,3.252074689,3.092842324,3.195652174,4.043568465,0.008890195,-7,1,27.21,0.299,68.23,58.87,7.74,7,1.6,2,1,-0.406266686
bulgaria,2001,778,0.003793261,3.331619537,3.06748072,3.43059126,4.12596401,0.008356639,8,1,24.87,0.299,69.16,66.63,7.74,11,6.04,2,1,-0.406266686
bulgaria,2005,715,0.011981026,3.230661041,2.991561181,3.451748252,4.073136428,0.013130082,8,1,27.16,0.299,70.18,55.76,7.5,15,6.56,2,0,-0.406266686
cambodia,2008,214,0.042012403,3.261682243,3.210280374,3.261682243,4.663551402,0.06769599,NA,0,37.9,NA,19.8,75.21,NA,NA,10.21,2,0,NA
cameroon,1997,195,0.052728468,3.134020619,2.981958763,3.394871795,3.891752577,0.06760289,NA,0,50.8,0.887,43.76,75.6,NA,NA,4.91,2,1,NA
canada,1949,830,0.013209464,3.43253012,3.127710843,4.06626506,3.962650602,0.022963654,10,1,35.8,0.596,60.95,74.79,1,61,NA,2,0,-0.406266686
canada,1953,874,0.013777105,3.363844394,3.100114416,4.067505721,4.067505721,0.023409755,10,1,32.56,0.596,63.8,67.87,1,65,NA,2,0,-0.406266686
canada,1957,842,0.008034258,3.315914489,3.111638955,3.847980998,3.899049881,0.026957553,10,1,32.04,0.596,67.05,75.05,1,69,NA,2,0,-0.406266686
canada,1958,818,0.011382046,3.342298289,3,3.480440098,4.037897311,0.010896643,10,1,25.28,0.596,67.72,80.57,1,70,NA,2,0,-0.406266686
canada,1962,1002,0.00700794,3.271457086,3.073852295,3.821357285,3.879241517,0.032260926,10,1,28.75,0.596,70.59,80.13,1,74,3.16,2,0,-0.406266686
canada,1963,1010,0.004862268,3.367326733,3.103960396,3.615841584,3.959405941,0.027600822,10,1,28.75,0.596,71.36,80.3,1,75,7.12,2,0,-0.406266686
canada,1965,998,0.011461801,3.230460922,3.04759519,3.605210421,3.977955912,0.010306236,10,1,26.76,0.596,72.89,75.88,1,77,6.7,2,0,-0.406266686
canada,1968,958,0.010826313,3.322546973,3.092901879,3.334029228,4.026096033,0.009852355,10,1,28.53,0.596,74.55,75.67,1,80,2.92,2,0,-0.406266686
canada,1972,1099,0.006498587,3.375796178,3.139672429,3.267515924,4.148316652,0.004305225,10,1,29.25,0.596,75.64,77.2,1,84,4.12,2,0,-0.406266686
canada,1974,1140,0.002908587,3.295614035,3.125438596,3.073684211,4.136842105,0.005381654,10,1,28.09,0.596,75.62,71,1,86,6.96,2,0,-0.406266686
canada,1979,1417,0.006235902,3.30345801,3.19089626,3.143966126,4.175017643,0.005627188,10,1,27.76,0.596,75.65,75.69,1,91,3.95,2,0,-0.406266686
canada,1988,1557,0.010420134,3.272318561,3.156069364,3.066152858,4.199100835,0.002922603,10,1,27.57,0.596,76.49,75.29,1,100,4.04,2,0,-0.406266686
canada,1993,2148,0.002998762,3.286312849,3.121275605,3.384543762,4.108472998,0.008352669,10,1,28.35,0.596,77.24,69.64,1,105,0.85,2,0,-0.406266686
canada,1997,1658,0.008154345,3.331121834,3.14535585,3.153196622,4.160434258,0.004698882,10,1,29.1,0.596,78.4,67,1,109,1.68,2,0,-0.406266686
canada,2000,1708,0.00218561,3.292740047,3.132025761,3.257025761,4.111826698,0.005691941,10,1,31.5,0.596,79.48,61.18,1,112,5,2,0,-0.406266686
canada,2004,1677,0.00693411,3.311270125,3.186940966,3.029815146,4.186046512,0.009484888,10,1,31.8,0.596,79.99,60.91,1,116,1.93,2,0,-0.406266686
canada,2006,1622,0.006011668,3.286683107,3.15998767,2.999383477,4.254007398,0.005101192,10,1,31.55,0.596,80.21,64.94,1,118,3.16,2,0,-0.406266686
canada,2008,1592,0.003399535,3.202388435,3.143620365,3.278266332,4.304839723,0.008326973,10,1,NA,0.596,80.6,59.52,1,120,2.01,2,0,-0.406266686
colombia,1958,36,0.095679012,3,2.625,4.111111111,3.666666667,0.185719385,NA,1,58.5,0.656,45,68.85,NA,0,NA,2,1,NA
colombia,1960,36,0.095679012,3.361111111,2.805555556,3.333333333,4.25,0.590926142,-5,1,59.22,0.656,45.03,57.82,NA,2,NA,2,0,-0.406266686
colombia,1962,38,0.343490305,3.078947368,3.460526316,3.842105263,4.078947368,0.203665206,-5,1,50.43,0.656,47.43,57.88,NA,4,5.27,2,0,-0.406266686
colombia,1966,40,0.4,3.1,3.0125,4.3,3.9,0.207348188,7,1,47,0.656,51.78,44.47,NA,8,3.01,2,0,-0.406266686
colombia,1968,48,0.163194444,3.020833333,3.166666667,3.8125,4.791666667,0.500130295,7,1,47,0.656,53.3,37.28,NA,10,4.19,2,0,-0.406266686
colombia,1970,52,0.124260355,3.288461538,3.259615385,4.038461538,4.673076923,0.092914029,7,1,50.77,0.656,54.82,51.92,NA,12,6.52,2,0,-0.406266686
colombia,1974,109,0.015907752,3.018348624,2.935779817,3.513761468,3.990825688,0.091646167,7,1,46,0.656,57.8,57.14,7.65,16,6.73,2,0,-0.406266686
colombia,1982,102,0.086120723,3.166666667,3.019607843,3.598039216,4.12745098,0.036806287,7,1,56,0.656,63.5,40.7,7.65,24,2.26,2,0,-0.406266686
colombia,1986,106,0.066215735,3.273584906,3.358490566,3.29245283,4.094339623,0.070165616,8,1,44.7,0.656,66.11,43.62,7.65,28,3.09,2,0,-0.406266686
colombia,1998,317,0.031456179,3.359621451,3.116719243,3.416403785,4.545741325,0.046387312,8,1,55.7,0.656,71.45,45,4.88,40,3.43,2,1,-0.406266686
colombia,2006,399,0.01676497,3.203007519,3.072681704,3.581453634,4.185463659,0.005291095,7,1,55.3,0.656,73.87,40.49,5,48,4.71,2,1,-0.406266686
costarica,1953,22,0.32231405,4.090909091,3.5,4.318181818,5.363636364,0.464453465,NA,1,NA,0.238,33.73,67.51,6.43,63,NA,2,0,NA
costarica,1958,50,0.16,3.3,2.84,3.46,4.2,0.234021287,10,1,50,0.238,34.3,64.69,6.43,68,NA,2,0,0.491336559
costarica,1962,33,0.129476584,2.848484848,3.060606061,2.878787879,3.727272727,0.211923122,10,1,46.99,0.238,34.87,80.89,8.14,72,-0.96,2,0,-0.406266686
costarica,1966,28,0.326530612,3.928571429,3.392857143,2.892857143,4.107142857,0.279034138,10,1,41.81,0.238,36.4,81.4,8.14,76,9.83,2,0,-0.406266686
costarica,1970,51,0.211072664,3.176470588,3.18627451,2.980392157,4,0.195420009,10,1,40.96,0.238,38.83,83.32,8.14,80,5.58,2,0,0.491336559
costarica,1974,72,0.091820988,3.597222222,3.555555556,3.069444444,4.722222222,0.133790671,10,1,45.2,0.238,40.84,79.89,8.14,84,7.71,2,0,-0.406266686
costarica,1978,70,0.179591837,3.271428571,3.092857143,3.514285714,4.342857143,0.112167913,10,1,46,0.238,42.4,81.16,8.14,88,8.9,2,0,-0.406266686
costarica,1982,58,0.195005945,3.413793103,2.827586207,3.344827586,4.327586207,0.120479948,10,1,41.1,0.238,44.08,78.62,8.14,92,-2.26,2,0,0.491336559
costarica,1990,62,0.113423517,3.709677419,2.943548387,3.725806452,3.983870968,0.073332251,10,1,45.3,0.238,50.68,81.79,8.14,100,5.07,2,0,-0.406266686
costarica,1994,62,0.092611863,3.677419355,3.024193548,3.564516129,3.919354839,0.085520182,10,1,45.1,0.238,54.77,81.09,8.14,104,7.41,2,0,-0.406266686
costarica,1998,107,0.115381256,2.990654206,3.042056075,3.672897196,4.08411215,0.124805514,10,1,45.8,0.238,57.74,69.99,8.14,108,5.58,2,0,-0.406266686
costarica,2002,96,0.124131944,3.5,3.166666667,3.625,4.09375,0.049497322,10,1,49.8,0.238,60.11,68.84,8.14,112,1.08,2,0,-0.406266686
costarica,2006,105,0.067573696,3.247619048,3.261904762,3.066666667,4.219047619,0.075402097,10,1,49.2,0.238,62.2,65.13,8.1,116,5.89,2,0,-0.406266686
croatia,2000,268,0.031410114,3.496268657,3.442164179,3.291044776,4.138059701,0.02734664,NA,1,31.06,0.375,55.59,76.55,13.27,0,-0.94,2,0,NA
croatia,2003,356,0.019915415,3.191011236,3.02247191,3.303370787,4.030898876,0.030794648,-5,1,28.73,0.375,56.08,61.65,8.82,3,5.25,2,1,0.491336559
croatia,2007,243,0.059967146,3.288065844,3.226337449,3.909465021,4.164609053,0.045864597,-5,1,33.7,0.375,57,59.58,3.55,7,4.79,2,0,-0.406266686
cyprus,1981,45,0.051851852,3.644444444,3.177777778,3.111111111,3.844444444,0.232837891,NA,0,NA,0.359,59.83,95.75,5.83,21,5.75,0,0,NA
cyprus,1985,26,0.153846154,3.076923077,2.711538462,3.615384615,3.5,0.5559224,10,1,NA,0.359,64.68,94.62,NA,25,8.76,0,0,1.793239372
cyprus,1991,35,0.167346939,2.714285714,2.871428571,3.6,3.971428571,0.288197508,10,1,22.87,0.359,67.03,94.31,9.33,31,7.4,0,0,-0.406266686
cyprus,1996,51,0.203383314,3.68627451,3.470588235,3.392156863,4.490196078,0.153907186,10,1,24.44,0.359,68.16,90.13,9.33,36,6.1,0,0,-0.406266686
czechoslovakia,1990,117,0.064358244,2.914529915,3.183760684,3.495726496,4.324786325,0.058408127,NA,1,20.63,0.505,NA,96.33,12,0,NA,0,1,NA
czechoslovakia,1992,163,0.069291279,3.220858896,3.211656442,3.220858896,4.380368098,0.031757076,-7,1,20.7,0.505,NA,84.68,10.5,2,-11.61,0,1,-0.406266686
czechrepublic,1996,122,0.056167697,3.37704918,3.045081967,3.204918033,3.926229508,0.031465007,NA,1,25.9,0.322,74.51,76.29,22.22,6,6.22,0,1,NA
czechrepublic,2002,313,0.028182384,3.329073482,3.348242812,3.460063898,3.990415335,0.018874774,10,1,25.22,0.322,73.87,57.95,14.29,12,3.05,0,0,-0.406266686
czechrepublic,2006,273,0.031947296,3.355311355,3.26007326,3.399267399,4.021978022,0.01319961,10,1,25.45,0.322,73.65,64.47,14.29,16,6.44,0,1,-0.406266686
denmark,1945,138,0.105860113,3.224637681,3.148550725,3.413043478,4.492753623,0.035224678,NA,1,43,0.128,67.98,86.29,NA,30,NA,0,0,NA
denmark,1947,162,0.02499619,3.580246914,3.219135802,3.487654321,4.037037037,0.041022343,NA,1,39,0.128,67.98,85.78,5.09,32,NA,0,0,-0.406266686
denmark,1957,161,0.021179738,3.086956522,2.956521739,3.782608696,4.180124224,0.066138218,10,1,33.46,0.128,71.25,83.73,5.87,42,NA,0,0,-0.406266686
denmark,1960,162,0.101204085,3.234567901,3.064814815,3.37037037,4.49382716,0.028313352,10,1,27.01,0.128,73.69,85.84,5.87,45,NA,0,0,-0.406266686
denmark,1964,139,0.064644687,3.107913669,3.14028777,3.525179856,4.388489209,0.021725147,10,1,25.14,0.128,76.38,85.51,5.87,49,0.64,0,0,-0.406266686
